datum,sat,minut,restoran,broj_gostiju,jelo,status,ocena,termin,dan_u_nedelji,mesec
2026-02-22,12,0,Rustika,2,Pileći medaljoni,confirmed,4,2026-02-22 12:00:00,Sunday,February
2026-05-31,13,0,Sonic Restaurant,6,Punjene pečurke,confirmed,4,2026-05-31 13:00:00,Sunday,May
2026-05-24,13,30,Sonic Restaurant,5,Pršuta i sir,completed,4,2026-05-24 13:30:00,Sunday,May
2026-02-26,20,30,Zlatna Ribica,4,Rižoto sa plodovima mora,completed,4,2026-02-26 20:30:00,Thursday,February
2026-02-08,18,0,Rustika,4,Rižoto sa plodovima mora,confirmed,4,2026-02-08 18:00:00,Sunday,February
2026-04-19,21,0,Zlatna Ribica,2,Rižoto sa plodovima mora,cancelled,4,2026-04-19 21:00:00,Sunday,April
2026-06-30,20,0,Zlatna Ribica,4,Pršuta i sir,confirmed,4,2026-06-30 20:00:00,Tuesday,June
2026-02-11,20,0,Stara Srpska Kuća,3,Pršuta i sir,completed,3,2026-02-11 20:00:00,Wednesday,February
2026-07-05,12,0,Zlatna Ribica,1,Pileći medaljoni,confirmed,4,2026-07-05 12:00:00,Sunday,July
2026-06-16,12,30,Trpeza Balkana,2,Domaći sok,completed,5,2026-06-16 12:30:00,Tuesday,June
2026-05-22,18,30,Villa Nova,1,Karađorđeva šnicla,confirmed,3,2026-05-22 18:30:00,Friday,May
2026-05-02,13,30,Stara Srpska Kuća,2,Rižoto sa plodovima mora,completed,4,2026-05-02 13:30:00,Saturday,May
2026-05-13,20,30,Stara Srpska Kuća,2,Rižoto sa plodovima mora,cancelled,5,2026-05-13 20:30:00,Wednesday,May
2026-06-12,20,0,Stara Srpska Kuća,2,Karađorđeva šnicla,confirmed,4,2026-06-12 20:00:00,Friday,June
2026-03-16,19,0,Sonic Restaurant,6,Rižoto sa plodovima mora,completed,4,2026-03-16 19:00:00,Monday,March
2026-05-26,19,0,Rustika,2,Grilovani list,confirmed,5,2026-05-26 19:00:00,Tuesday,May
2026-03-17,19,30,Stara Srpska Kuća,4,Pileći medaljoni,cancelled,4,2026-03-17 19:30:00,Tuesday,March
2026-01-09,12,30,Sonic Restaurant,4,Rižoto sa plodovima mora,cancelled,4,2026-01-09 12:30:00,Friday,January
2026-03-15,12,30,Sonic Restaurant,4,Šopska salata,completed,3,2026-03-15 12:30:00,Sunday,March
2026-07-05,20,0,Stara Srpska Kuća,6,Pileći medaljoni,confirmed,4,2026-07-05 20:00:00,Sunday,July
2026-05-25,12,30,Sonic Restaurant,4,Karađorđeva šnicla,cancelled,4,2026-05-25 12:30:00,Monday,May
2026-01-07,21,0,Stara Srpska Kuća,1,Šopska salata,confirmed,5,2026-01-07 21:00:00,Wednesday,January
2026-06-23,20,0,Sonic Restaurant,5,Karađorđeva šnicla,completed,5,2026-06-23 20:00:00,Tuesday,June
2026-05-21,21,0,Trpeza Balkana,3,Baklava,completed,4,2026-05-21 21:00:00,Thursday,May
2026-06-17,20,0,Zlatna Ribica,6,Tiramisu,completed,5,2026-06-17 20:00:00,Wednesday,June
2026-06-19,19,0,Stara Srpska Kuća,3,Rižoto sa plodovima mora,completed,3,2026-06-19 19:00:00,Friday,June
2026-05-17,19,0,Villa Nova,3,Tiramisu,completed,2,2026-05-17 19:00:00,Sunday,May
2026-06-27,12,30,Zlatna Ribica,2,Baklava,confirmed,5,2026-06-27 12:30:00,Saturday,June
2026-01-27,12,0,Trpeza Balkana,2,Tiramisu,confirmed,2,2026-01-27 12:00:00,Tuesday,January
2026-05-02,12,0,Stara Srpska Kuća,6,Punjene pečurke,confirmed,4,2026-05-02 12:00:00,Saturday,May
2026-07-13,19,30,Stara Srpska Kuća,4,Grilovani list,completed,4,2026-07-13 19:30:00,Monday,July
2026-01-05,19,0,Stara Srpska Kuća,1,Palačinke,confirmed,5,2026-01-05 19:00:00,Monday,January
2026-01-29,12,30,Stara Srpska Kuća,2,Karađorđeva šnicla,confirmed,4,2026-01-29 12:30:00,Thursday,January
2026-06-14,12,30,Sonic Restaurant,2,Karađorđeva šnicla,completed,5,2026-06-14 12:30:00,Sunday,June
2026-06-15,20,30,Villa Nova,1,Grilovani list,cancelled,4,2026-06-15 20:30:00,Monday,June
2026-03-24,18,0,Sonic Restaurant,6,Grilovani list,cancelled,5,2026-03-24 18:00:00,Tuesday,March
2026-05-16,18,0,Sonic Restaurant,5,Pileći medaljoni,cancelled,3,2026-05-16 18:00:00,Saturday,May
2026-04-19,12,30,Zlatna Ribica,3,Šopska salata,completed,2,2026-04-19 12:30:00,Sunday,April
2026-03-06,19,0,Stara Srpska Kuća,2,Tiramisu,confirmed,4,2026-03-06 19:00:00,Friday,March
2026-03-27,20,0,Zlatna Ribica,1,Karađorđeva šnicla,completed,3,2026-03-27 20:00:00,Friday,March
2026-05-25,12,30,Zlatna Ribica,4,Tiramisu,confirmed,4,2026-05-25 12:30:00,Monday,May
2026-03-12,20,30,Trpeza Balkana,2,Tiramisu,completed,4,2026-03-12 20:30:00,Thursday,March
2026-02-14,12,0,Villa Nova,1,Karađorđeva šnicla,confirmed,5,2026-02-14 12:00:00,Saturday,February
2026-05-12,13,30,Stara Srpska Kuća,2,Rižoto sa plodovima mora,cancelled,3,2026-05-12 13:30:00,Tuesday,May
2026-02-05,19,30,Zlatna Ribica,4,Baklava,confirmed,5,2026-02-05 19:30:00,Thursday,February
2026-03-11,19,30,Rustika,4,Pršuta i sir,confirmed,5,2026-03-11 19:30:00,Wednesday,March
2026-06-08,21,0,Trpeza Balkana,4,Šopska salata,completed,4,2026-06-08 21:00:00,Monday,June
2026-01-19,20,0,Sonic Restaurant,3,Šopska salata,confirmed,5,2026-01-19 20:00:00,Monday,January
2026-07-08,20,0,Villa Nova,2,Pileći medaljoni,cancelled,3,2026-07-08 20:00:00,Wednesday,July
2026-04-18,19,30,Stara Srpska Kuća,2,Karađorđeva šnicla,confirmed,4,2026-04-18 19:30:00,Saturday,April
2026-07-01,21,0,Villa Nova,6,Pršuta i sir,completed,3,2026-07-01 21:00:00,Wednesday,July
2026-06-16,21,30,Stara Srpska Kuća,2,Karađorđeva šnicla,cancelled,5,2026-06-16 21:30:00,Tuesday,June
2026-04-01,20,0,Zlatna Ribica,6,Pršuta i sir,completed,5,2026-04-01 20:00:00,Wednesday,April
2026-07-21,13,0,Rustika,2,Baklava,confirmed,5,2026-07-21 13:00:00,Tuesday,July
2026-03-31,13,30,Stara Srpska Kuća,2,Pršuta i sir,confirmed,5,2026-03-31 13:30:00,Tuesday,March
2026-01-19,12,0,Sonic Restaurant,2,Kafa,completed,4,2026-01-19 12:00:00,Monday,January
2026-02-08,19,30,Sonic Restaurant,4,Pileći medaljoni,completed,3,2026-02-08 19:30:00,Sunday,February
2026-05-06,18,0,Villa Nova,4,Šopska salata,completed,4,2026-05-06 18:00:00,Wednesday,May
2026-07-14,13,0,Rustika,3,Punjene pečurke,cancelled,5,2026-07-14 13:00:00,Tuesday,July
2026-06-22,20,30,Trpeza Balkana,1,Kafa,confirmed,4,2026-06-22 20:30:00,Monday,June
2026-05-21,13,30,Zlatna Ribica,2,Šopska salata,confirmed,2,2026-05-21 13:30:00,Thursday,May
2026-05-06,13,30,Rustika,3,Karađorđeva šnicla,confirmed,5,2026-05-06 13:30:00,Wednesday,May
2026-02-27,19,0,Sonic Restaurant,4,Tiramisu,completed,3,2026-02-27 19:00:00,Friday,February
2026-05-28,20,0,Sonic Restaurant,1,Punjene pečurke,confirmed,4,2026-05-28 20:00:00,Thursday,May
2026-07-19,20,0,Trpeza Balkana,6,Karađorđeva šnicla,confirmed,5,2026-07-19 20:00:00,Sunday,July
2026-03-02,18,30,Sonic Restaurant,2,Punjene pečurke,completed,4,2026-03-02 18:30:00,Monday,March
2026-05-07,19,30,Stara Srpska Kuća,2,Palačinke,confirmed,5,2026-05-07 19:30:00,Thursday,May
2026-04-15,13,30,Stara Srpska Kuća,2,Pršuta i sir,completed,4,2026-04-15 13:30:00,Wednesday,April
2026-06-16,21,0,Stara Srpska Kuća,5,Rižoto sa plodovima mora,completed,3,2026-06-16 21:00:00,Tuesday,June
2026-01-01,21,0,Rustika,2,Baklava,confirmed,5,2026-01-01 21:00:00,Thursday,January
2026-05-11,20,30,Sonic Restaurant,4,Šopska salata,confirmed,4,2026-05-11 20:30:00,Monday,May
2026-07-24,20,0,Trpeza Balkana,2,Pileći medaljoni,completed,3,2026-07-24 20:00:00,Friday,July
2026-04-02,20,30,Sonic Restaurant,4,Karađorđeva šnicla,confirmed,3,2026-04-02 20:30:00,Thursday,April
2026-07-09,21,0,Stara Srpska Kuća,2,Grilovani list,confirmed,5,2026-07-09 21:00:00,Thursday,July
2026-07-10,20,0,Sonic Restaurant,6,Šopska salata,confirmed,5,2026-07-10 20:00:00,Friday,July
2026-04-23,12,30,Trpeza Balkana,6,Baklava,confirmed,3,2026-04-23 12:30:00,Thursday,April
2026-06-02,12,0,Zlatna Ribica,4,Grilovani list,cancelled,3,2026-06-02 12:00:00,Tuesday,June
2026-02-25,20,0,Villa Nova,5,Rižoto sa plodovima mora,confirmed,5,2026-02-25 20:00:00,Wednesday,February
2026-06-10,20,30,Trpeza Balkana,2,Karađorđeva šnicla,cancelled,3,2026-06-10 20:30:00,Wednesday,June
2026-06-15,13,30,Zlatna Ribica,3,Šopska salata,confirmed,5,2026-06-15 13:30:00,Monday,June
2026-04-27,20,0,Zlatna Ribica,2,Karađorđeva šnicla,cancelled,4,2026-04-27 20:00:00,Monday,April
2026-05-14,21,30,Villa Nova,4,Karađorđeva šnicla,completed,4,2026-05-14 21:30:00,Thursday,May
2026-02-27,12,0,Trpeza Balkana,5,Karađorđeva šnicla,completed,4,2026-02-27 12:00:00,Friday,February
2026-02-13,20,30,Stara Srpska Kuća,6,Pršuta i sir,completed,5,2026-02-13 20:30:00,Friday,February
2026-06-22,13,0,Zlatna Ribica,4,Rižoto sa plodovima mora,confirmed,5,2026-06-22 13:00:00,Monday,June
2026-06-09,13,0,Trpeza Balkana,5,Grilovani list,completed,4,2026-06-09 13:00:00,Tuesday,June
2026-06-22,19,30,Trpeza Balkana,6,Palačinke,confirmed,5,2026-06-22 19:30:00,Monday,June
2026-03-02,19,0,Stara Srpska Kuća,4,Karađorđeva šnicla,confirmed,3,2026-03-02 19:00:00,Monday,March
2026-02-16,13,0,Rustika,2,Rižoto sa plodovima mora,completed,5,2026-02-16 13:00:00,Monday,February
2026-05-29,19,30,Villa Nova,2,Tiramisu,confirmed,5,2026-05-29 19:30:00,Friday,May
2026-03-21,20,30,Stara Srpska Kuća,2,Rižoto sa plodovima mora,completed,5,2026-03-21 20:30:00,Saturday,March
2026-04-28,21,0,Rustika,6,Pileći medaljoni,confirmed,4,2026-04-28 21:00:00,Tuesday,April
2026-07-22,12,30,Stara Srpska Kuća,4,Karađorđeva šnicla,completed,3,2026-07-22 12:30:00,Wednesday,July
2026-06-13,21,30,Stara Srpska Kuća,2,Baklava,cancelled,4,2026-06-13 21:30:00,Saturday,June
2026-05-27,13,0,Stara Srpska Kuća,5,Rižoto sa plodovima mora,completed,4,2026-05-27 13:00:00,Wednesday,May
2026-01-20,18,0,Stara Srpska Kuća,4,Baklava,completed,4,2026-01-20 18:00:00,Tuesday,January
2026-07-04,13,30,Rustika,6,Grilovani list,completed,4,2026-07-04 13:30:00,Saturday,July
2026-05-26,21,30,Stara Srpska Kuća,5,Rižoto sa plodovima mora,cancelled,4,2026-05-26 21:30:00,Tuesday,May
2026-02-16,20,30,Stara Srpska Kuća,2,Šopska salata,confirmed,5,2026-02-16 20:30:00,Monday,February
2026-02-18,21,0,Stara Srpska Kuća,1,Domaći sok,completed,5,2026-02-18 21:00:00,Wednesday,February
2026-01-14,20,0,Sonic Restaurant,2,Karađorđeva šnicla,confirmed,4,2026-01-14 20:00:00,Wednesday,January
2026-05-23,20,0,Stara Srpska Kuća,2,Baklava,confirmed,5,2026-05-23 20:00:00,Saturday,May
2026-06-08,20,0,Trpeza Balkana,2,Grilovani list,confirmed,5,2026-06-08 20:00:00,Monday,June
2026-01-01,21,0,Stara Srpska Kuća,4,Pileći medaljoni,confirmed,4,2026-01-01 21:00:00,Thursday,January
2026-04-27,21,0,Rustika,2,Grilovani list,completed,4,2026-04-27 21:00:00,Monday,April
2026-02-23,20,0,Rustika,6,Pršuta i sir,cancelled,3,2026-02-23 20:00:00,Monday,February
2026-04-28,13,30,Stara Srpska Kuća,2,Rižoto sa plodovima mora,completed,5,2026-04-28 13:30:00,Tuesday,April
2026-01-03,18,30,Rustika,4,Rižoto sa plodovima mora,completed,4,2026-01-03 18:30:00,Saturday,January
2026-05-24,18,0,Stara Srpska Kuća,4,Karađorđeva šnicla,confirmed,5,2026-05-24 18:00:00,Sunday,May
2026-07-04,20,0,Stara Srpska Kuća,1,Karađorđeva šnicla,confirmed,3,2026-07-04 20:00:00,Saturday,July
2026-07-22,19,0,Stara Srpska Kuća,5,Palačinke,confirmed,5,2026-07-22 19:00:00,Wednesday,July
2026-01-12,20,30,Sonic Restaurant,2,Kafa,completed,4,2026-01-12 20:30:00,Monday,January
2026-03-15,20,0,Zlatna Ribica,4,Šopska salata,confirmed,5,2026-03-15 20:00:00,Sunday,March
2026-01-16,12,30,Trpeza Balkana,2,Grilovani list,confirmed,4,2026-01-16 12:30:00,Friday,January
2026-07-19,20,30,Sonic Restaurant,2,Rižoto sa plodovima mora,cancelled,5,2026-07-19 20:30:00,Sunday,July
2026-04-12,21,30,Trpeza Balkana,3,Šopska salata,completed,5,2026-04-12 21:30:00,Sunday,April
2026-07-23,13,30,Stara Srpska Kuća,1,Domaći sok,completed,5,2026-07-23 13:30:00,Thursday,July
2026-06-01,19,30,Trpeza Balkana,6,Pileći medaljoni,completed,4,2026-06-01 19:30:00,Monday,June
2026-06-05,21,0,Stara Srpska Kuća,4,Baklava,confirmed,4,2026-06-05 21:00:00,Friday,June
2026-04-27,12,0,Stara Srpska Kuća,2,Domaći sok,confirmed,4,2026-04-27 12:00:00,Monday,April
2026-01-08,19,30,Stara Srpska Kuća,2,Palačinke,cancelled,3,2026-01-08 19:30:00,Thursday,January
2026-05-02,13,0,Stara Srpska Kuća,4,Grilovani list,completed,4,2026-05-02 13:00:00,Saturday,May
2026-04-02,13,30,Zlatna Ribica,2,Karađorđeva šnicla,completed,2,2026-04-02 13:30:00,Thursday,April
2026-06-13,21,30,Rustika,4,Pileći medaljoni,confirmed,5,2026-06-13 21:30:00,Saturday,June
2026-03-31,12,0,Stara Srpska Kuća,4,Pileći medaljoni,completed,5,2026-03-31 12:00:00,Tuesday,March
2026-05-16,21,0,Trpeza Balkana,6,Karađorđeva šnicla,confirmed,4,2026-05-16 21:00:00,Saturday,May
2026-07-05,20,0,Zlatna Ribica,3,Grilovani list,confirmed,5,2026-07-05 20:00:00,Sunday,July
2026-03-01,19,0,Rustika,2,Šopska salata,confirmed,4,2026-03-01 19:00:00,Sunday,March
2026-06-27,12,0,Stara Srpska Kuća,2,Pileći medaljoni,confirmed,3,2026-06-27 12:00:00,Saturday,June
2026-01-28,21,30,Sonic Restaurant,1,Grilovani list,confirmed,5,2026-01-28 21:30:00,Wednesday,January
2026-04-11,12,0,Villa Nova,2,Pršuta i sir,confirmed,5,2026-04-11 12:00:00,Saturday,April
2026-02-10,19,0,Zlatna Ribica,2,Punjene pečurke,completed,3,2026-02-10 19:00:00,Tuesday,February
2026-07-11,20,0,Sonic Restaurant,4,Šopska salata,completed,4,2026-07-11 20:00:00,Saturday,July
2026-06-04,18,30,Stara Srpska Kuća,4,Karađorđeva šnicla,completed,4,2026-06-04 18:30:00,Thursday,June
2026-07-10,21,0,Stara Srpska Kuća,1,Šopska salata,confirmed,5,2026-07-10 21:00:00,Friday,July
2026-05-25,21,30,Zlatna Ribica,2,Pršuta i sir,cancelled,4,2026-05-25 21:30:00,Monday,May
2026-07-20,18,0,Trpeza Balkana,5,Karađorđeva šnicla,confirmed,4,2026-07-20 18:00:00,Monday,July
2026-06-10,13,0,Stara Srpska Kuća,6,Šopska salata,confirmed,5,2026-06-10 13:00:00,Wednesday,June
2026-07-24,19,30,Zlatna Ribica,4,Rižoto sa plodovima mora,completed,3,2026-07-24 19:30:00,Friday,July
2026-06-06,19,0,Zlatna Ribica,4,Rižoto sa plodovima mora,confirmed,4,2026-06-06 19:00:00,Saturday,June
2026-05-21,13,0,Zlatna Ribica,5,Rižoto sa plodovima mora,completed,4,2026-05-21 13:00:00,Thursday,May
2026-02-15,20,30,Trpeza Balkana,4,Rižoto sa plodovima mora,completed,4,2026-02-15 20:30:00,Sunday,February
2026-02-04,21,0,Rustika,2,Rižoto sa plodovima mora,cancelled,5,2026-02-04 21:00:00,Wednesday,February
2026-05-14,21,30,Sonic Restaurant,1,Baklava,cancelled,4,2026-05-14 21:30:00,Thursday,May
2026-03-23,19,30,Rustika,4,Karađorđeva šnicla,cancelled,5,2026-03-23 19:30:00,Monday,March
2026-04-25,12,30,Stara Srpska Kuća,1,Domaći sok,confirmed,5,2026-04-25 12:30:00,Saturday,April
2026-07-16,19,30,Stara Srpska Kuća,1,Pileći medaljoni,cancelled,4,2026-07-16 19:30:00,Thursday,July
2026-02-16,18,30,Stara Srpska Kuća,6,Karađorđeva šnicla,confirmed,5,2026-02-16 18:30:00,Monday,February
2026-06-02,18,0,Stara Srpska Kuća,4,Karađorđeva šnicla,completed,5,2026-06-02 18:00:00,Tuesday,June
2026-07-13,12,0,Stara Srpska Kuća,2,Pršuta i sir,completed,4,2026-07-13 12:00:00,Monday,July
2026-01-10,13,0,Stara Srpska Kuća,4,Pršuta i sir,confirmed,5,2026-01-10 13:00:00,Saturday,January
2026-02-25,21,30,Rustika,1,Karađorđeva šnicla,completed,5,2026-02-25 21:30:00,Wednesday,February
2026-01-30,19,30,Stara Srpska Kuća,4,Grilovani list,confirmed,5,2026-01-30 19:30:00,Friday,January
2026-04-19,20,30,Trpeza Balkana,4,Baklava,confirmed,4,2026-04-19 20:30:00,Sunday,April
2026-01-05,21,30,Stara Srpska Kuća,2,Karađorđeva šnicla,cancelled,4,2026-01-05 21:30:00,Monday,January
2026-04-29,19,0,Villa Nova,4,Baklava,confirmed,5,2026-04-29 19:00:00,Wednesday,April
2026-02-02,21,0,Trpeza Balkana,2,Punjene pečurke,confirmed,4,2026-02-02 21:00:00,Monday,February
2026-04-28,18,30,Stara Srpska Kuća,1,Rižoto sa plodovima mora,confirmed,4,2026-04-28 18:30:00,Tuesday,April
2026-03-06,20,30,Trpeza Balkana,2,Rižoto sa plodovima mora,completed,4,2026-03-06 20:30:00,Friday,March
2026-05-26,13,0,Zlatna Ribica,2,Karađorđeva šnicla,confirmed,4,2026-05-26 13:00:00,Tuesday,May
2026-06-26,12,30,Trpeza Balkana,1,Baklava,confirmed,3,2026-06-26 12:30:00,Friday,June
2026-01-11,13,30,Zlatna Ribica,2,Karađorđeva šnicla,completed,4,2026-01-11 13:30:00,Sunday,January
2026-03-26,20,30,Zlatna Ribica,3,Grilovani list,confirmed,5,2026-03-26 20:30:00,Thursday,March
2026-01-26,13,0,Trpeza Balkana,5,Pršuta i sir,confirmed,4,2026-01-26 13:00:00,Monday,January
2026-03-04,12,0,Sonic Restaurant,1,Grilovani list,completed,4,2026-03-04 12:00:00,Wednesday,March
2026-03-27,20,30,Stara Srpska Kuća,2,Pileći medaljoni,confirmed,4,2026-03-27 20:30:00,Friday,March
2026-02-28,18,0,Rustika,2,Baklava,completed,5,2026-02-28 18:00:00,Saturday,February
2026-01-27,13,30,Sonic Restaurant,3,Pileći medaljoni,confirmed,3,2026-01-27 13:30:00,Tuesday,January
2026-06-26,21,30,Sonic Restaurant,4,Tiramisu,cancelled,5,2026-06-26 21:30:00,Friday,June
2026-07-24,20,0,Stara Srpska Kuća,5,Baklava,cancelled,4,2026-07-24 20:00:00,Friday,July
2026-06-10,13,30,Sonic Restaurant,4,Rižoto sa plodovima mora,confirmed,5,2026-06-10 13:30:00,Wednesday,June
2026-04-08,19,30,Villa Nova,1,Rižoto sa plodovima mora,confirmed,5,2026-04-08 19:30:00,Wednesday,April
2026-04-15,12,0,Stara Srpska Kuća,4,Rižoto sa plodovima mora,cancelled,4,2026-04-15 12:00:00,Wednesday,April
2026-04-09,19,30,Sonic Restaurant,2,Pršuta i sir,completed,3,2026-04-09 19:30:00,Thursday,April
2026-05-09,13,30,Trpeza Balkana,4,Grilovani list,completed,5,2026-05-09 13:30:00,Saturday,May
2026-05-29,21,30,Rustika,5,Domaći sok,completed,4,2026-05-29 21:30:00,Friday,May
2026-02-24,21,0,Sonic Restaurant,4,Pršuta i sir,completed,5,2026-02-24 21:00:00,Tuesday,February
2026-01-06,20,30,Sonic Restaurant,4,Rižoto sa plodovima mora,cancelled,5,2026-01-06 20:30:00,Tuesday,January
2026-07-28,21,0,Villa Nova,6,Pršuta i sir,confirmed,3,2026-07-28 21:00:00,Tuesday,July
2026-07-16,12,30,Trpeza Balkana,6,Rižoto sa plodovima mora,confirmed,5,2026-07-16 12:30:00,Thursday,July
2026-04-05,21,30,Stara Srpska Kuća,1,Baklava,completed,5,2026-04-05 21:30:00,Sunday,April
2026-05-13,21,30,Stara Srpska Kuća,1,Pršuta i sir,cancelled,5,2026-05-13 21:30:00,Wednesday,May
2026-04-12,20,30,Sonic Restaurant,1,Karađorđeva šnicla,completed,3,2026-04-12 20:30:00,Sunday,April
2026-01-03,18,0,Stara Srpska Kuća,5,Karađorđeva šnicla,cancelled,5,2026-01-03 18:00:00,Saturday,January
2026-06-30,20,0,Stara Srpska Kuća,4,Palačinke,completed,5,2026-06-30 20:00:00,Tuesday,June
2026-01-23,12,30,Rustika,2,Pršuta i sir,confirmed,5,2026-01-23 12:30:00,Friday,January
2026-02-22,19,30,Stara Srpska Kuća,2,Tiramisu,completed,3,2026-02-22 19:30:00,Sunday,February
2026-06-14,13,30,Trpeza Balkana,2,Karađorđeva šnicla,confirmed,5,2026-06-14 13:30:00,Sunday,June
2026-07-21,21,30,Stara Srpska Kuća,2,Grilovani list,confirmed,3,2026-07-21 21:30:00,Tuesday,July
2026-07-21,21,30,Trpeza Balkana,4,Karađorđeva šnicla,confirmed,4,2026-07-21 21:30:00,Tuesday,July
2026-03-24,20,30,Trpeza Balkana,5,Pileći medaljoni,completed,5,2026-03-24 20:30:00,Tuesday,March
2026-05-25,18,30,Stara Srpska Kuća,4,Rižoto sa plodovima mora,cancelled,5,2026-05-25 18:30:00,Monday,May
2026-03-26,21,30,Zlatna Ribica,2,Karađorđeva šnicla,confirmed,4,2026-03-26 21:30:00,Thursday,March
2026-03-19,20,0,Stara Srpska Kuća,4,Pršuta i sir,confirmed,5,2026-03-19 20:00:00,Thursday,March
2026-07-20,20,0,Rustika,2,Pileći medaljoni,completed,5,2026-07-20 20:00:00,Monday,July
2026-04-20,12,0,Rustika,4,Grilovani list,cancelled,5,2026-04-20 12:00:00,Monday,April
2026-01-01,18,30,Sonic Restaurant,4,Pileći medaljoni,completed,4,2026-01-01 18:30:00,Thursday,January
2026-02-20,13,30,Sonic Restaurant,2,Šopska salata,completed,3,2026-02-20 13:30:00,Friday,February
2026-06-22,13,30,Sonic Restaurant,5,Karađorđeva šnicla,completed,4,2026-06-22 13:30:00,Monday,June
2026-07-24,12,0,Trpeza Balkana,2,Grilovani list,confirmed,5,2026-07-24 12:00:00,Friday,July
2026-01-04,20,30,Sonic Restaurant,4,Rižoto sa plodovima mora,confirmed,3,2026-01-04 20:30:00,Sunday,January
2026-07-09,13,0,Stara Srpska Kuća,2,Šopska salata,confirmed,5,2026-07-09 13:00:00,Thursday,July
2026-07-12,12,30,Sonic Restaurant,3,Baklava,completed,5,2026-07-12 12:30:00,Sunday,July
2026-04-23,20,0,Stara Srpska Kuća,4,Rižoto sa plodovima mora,confirmed,5,2026-04-23 20:00:00,Thursday,April
2026-02-01,21,0,Trpeza Balkana,2,Grilovani list,completed,5,2026-02-01 21:00:00,Sunday,February
2026-02-03,20,0,Stara Srpska Kuća,3,Palačinke,confirmed,4,2026-02-03 20:00:00,Tuesday,February
2026-04-02,19,30,Zlatna Ribica,2,Kafa,completed,4,2026-04-02 19:30:00,Thursday,April
2026-04-05,19,0,Stara Srpska Kuća,3,Punjene pečurke,confirmed,4,2026-04-05 19:00:00,Sunday,April
2026-03-13,12,30,Stara Srpska Kuća,2,Vino kuće,confirmed,5,2026-03-13 12:30:00,Friday,March
2026-02-08,18,30,Zlatna Ribica,4,Punjene pečurke,confirmed,5,2026-02-08 18:30:00,Sunday,February
2026-06-03,21,30,Villa Nova,1,Šopska salata,completed,3,2026-06-03 21:30:00,Wednesday,June
2026-06-11,21,30,Trpeza Balkana,6,Rižoto sa plodovima mora,confirmed,4,2026-06-11 21:30:00,Thursday,June
2026-07-01,21,30,Stara Srpska Kuća,6,Rižoto sa plodovima mora,completed,5,2026-07-01 21:30:00,Wednesday,July
2026-04-28,13,0,Stara Srpska Kuća,3,Karađorđeva šnicla,completed,4,2026-04-28 13:00:00,Tuesday,April
2026-01-03,12,30,Rustika,6,Baklava,confirmed,2,2026-01-03 12:30:00,Saturday,January
2026-05-03,13,30,Sonic Restaurant,4,Tiramisu,confirmed,4,2026-05-03 13:30:00,Sunday,May
2026-02-19,12,30,Stara Srpska Kuća,3,Pršuta i sir,cancelled,3,2026-02-19 12:30:00,Thursday,February
2026-01-12,12,30,Rustika,2,Rižoto sa plodovima mora,confirmed,3,2026-01-12 12:30:00,Monday,January
2026-07-12,13,30,Rustika,5,Karađorđeva šnicla,confirmed,5,2026-07-12 13:30:00,Sunday,July
2026-02-23,20,0,Villa Nova,2,Grilovani list,cancelled,5,2026-02-23 20:00:00,Monday,February
2026-05-13,20,0,Rustika,2,Grilovani list,confirmed,5,2026-05-13 20:00:00,Wednesday,May
2026-02-26,21,30,Rustika,4,Pršuta i sir,cancelled,2,2026-02-26 21:30:00,Thursday,February
2026-05-25,19,0,Stara Srpska Kuća,5,Tiramisu,confirmed,4,2026-05-25 19:00:00,Monday,May
2026-04-22,19,0,Stara Srpska Kuća,6,Karađorđeva šnicla,completed,4,2026-04-22 19:00:00,Wednesday,April
2026-02-16,20,30,Zlatna Ribica,4,Karađorđeva šnicla,confirmed,3,2026-02-16 20:30:00,Monday,February
2026-05-31,13,0,Zlatna Ribica,3,Pršuta i sir,cancelled,5,2026-05-31 13:00:00,Sunday,May
2026-07-26,21,30,Sonic Restaurant,2,Grilovani list,completed,4,2026-07-26 21:30:00,Sunday,July
2026-03-26,12,0,Sonic Restaurant,2,Palačinke,confirmed,3,2026-03-26 12:00:00,Thursday,March
2026-05-22,20,0,Sonic Restaurant,6,Rižoto sa plodovima mora,confirmed,3,2026-05-22 20:00:00,Friday,May
2026-03-07,19,0,Zlatna Ribica,2,Grilovani list,confirmed,4,2026-03-07 19:00:00,Saturday,March
2026-03-16,19,30,Stara Srpska Kuća,2,Grilovani list,completed,4,2026-03-16 19:30:00,Monday,March
2026-06-28,13,0,Stara Srpska Kuća,2,Karađorđeva šnicla,confirmed,4,2026-06-28 13:00:00,Sunday,June
2026-04-13,13,0,Zlatna Ribica,2,Pršuta i sir,confirmed,5,2026-04-13 13:00:00,Monday,April
2026-06-15,20,30,Trpeza Balkana,2,Karađorđeva šnicla,completed,4,2026-06-15 20:30:00,Monday,June
2026-07-11,20,30,Stara Srpska Kuća,4,Rižoto sa plodovima mora,confirmed,4,2026-07-11 20:30:00,Saturday,July
2026-02-07,19,0,Zlatna Ribica,6,Pileći medaljoni,confirmed,4,2026-02-07 19:00:00,Saturday,February
2026-02-19,18,30,Trpeza Balkana,2,Karađorđeva šnicla,confirmed,3,2026-02-19 18:30:00,Thursday,February
2026-04-08,13,0,Sonic Restaurant,2,Karađorđeva šnicla,completed,3,2026-04-08 13:00:00,Wednesday,April
